LENSID,NIMG,IMG,ID,Parity,ZLENS,ZSRC,VELDISP,ELLIP,PHIE,KAPPA,GAMMA,S,DELAY,MAGI_IN,r0_r,RE_micro,weighted-score
246041,4,C,246041_C,Minimum,0.164,1.64,270.3958,0.2982184,-22.93623,0.45,0.53,0.8,1.081,22.91,5.114635241990284,504.84142142178627,0.7758231695062979
34856,4,A,34856_A,Minimum,0.084,1.79,203.7042,0.363763,101.0098,0.49,0.47,0.8,5.636,22.65,5.911916463191188,701.7862566227565,0.772058297228599
580297,4,A,580297_A,Saddle,0.222,1.62,183.6538,0.3715142,143.0058,0.5,0.51,0.8,0.815,23.03,4.840359358970579,434.30138402140807,0.7611527168485214
991200,4,A,991200_A,Saddle,0.268,1.62,230.1442,0.2869448,96.00034,0.51,0.52,0.8,0.98,23.39,4.169438821886483,395.2644518642517,0.7593452618041393
187421,4,B,187421_B,Saddle,0.15,0.83,164.4372,0.2747104,7.870502,0.48,0.52,0.8,0.0,21.67,5.95019883554757,445.3036206456714,0.7510951312117922
58449,2,B,58449_B,Minimum,0.1,0.74,243.7811,0.2277052,20.99487,0.47,0.47,0.8,0.0,20.31,9.720648232795158,526.3710120164313,0.7479154551701315
911340,2,B,911340_B,Minimum,0.26,1.25,246.0368,0.2420887,-28.31343,0.5,0.49,0.8,0.0,22.97,4.38387165754506,382.58773704004085,0.7468389541076894
518661,4,A,518661_A,Minimum,0.214,1.81,146.8926,0.284162,12.97447,0.45,0.46,0.8,0.0,22.37,6.669667997135736,444.7936849857136,0.7382425909220511
991200,4,C,991200_C,Minimum,0.268,1.62,230.1442,0.2869448,96.00034,0.48,0.48,0.8,0.0,23.39,4.169438821886483,395.2644518642517,0.7380347675604351
1363882,4,D,1363882_D,Saddle,0.3,1.67,246.6039,0.2026346,-161.9506,0.52,0.49,0.8,0.0,22.99,4.986918832042047,374.57152102109745,0.737448199202364
1716643,4,B,1716643_B,Minimum,0.326,1.08,241.5461,0.3550241,86.85267,0.47,0.48,0.8,0.0,22.53,4.864959177988819,320.18192111347304,0.7363607902467884
1804712,2,B,1804712_B,Saddle,0.332,1.48,241.5461,0.2061178,-112.8901,0.49,0.55,0.8,0.0,21.23,9.796562633293291,349.1868703031898,0.7348445224910374
17053,2,B,17053_B,Saddle,0.066,1.31,194.536,0.1985296,168.3256,0.53,0.51,0.7,0.0,20.15,14.448062611265076,774.8756326582486,0.7346732571025533
1716643,4,A,1716643_A,Saddle,0.326,1.08,241.5461,0.3550241,86.85267,0.49,0.52,0.8,0.375,22.53,4.864959177988819,320.18192111347304,0.7308779237469816
187421,4,D,187421_D,Saddle,0.15,0.83,164.4372,0.2747104,7.870502,0.54,0.5,0.7,0.125,21.67,5.95019883554757,445.3036206456714,0.7277013797873207
354307,4,D,354307_D,Minimum,0.186,1.83,272.8978,0.400086,-63.6724,0.49,0.47,0.8,38.4,21.21,10.835350437579702,476.27735262809705,0.7253864446315533
4629352,4,B,4629352_B,Saddle,0.47,3.17,237.1374,0.2474196,-25.03893,0.5,0.5,0.8,0.0,22.63,7.194814550583705,289.60078667763753,0.7252604318640179
2615539,4,A,2615539_A,Minimum,0.38,2.79,270.3958,0.2746629,-145.9768,0.48,0.48,0.8,12.294,22.73,6.671122636149345,327.1041228079421,0.7244262940701331
51810,2,A,51810_A,Saddle,0.096,3.08,244.9063,0.1280685,66.05098,0.53,0.5,0.8,0.0,21.77,10.200949442277853,605.7316783774792,0.7230923824224055
49049,2,B,49049_B,Minimum,0.094,1.64,215.7744,0.3120026,121.7137,0.51,0.46,0.8,0.0,21.13,10.695834314014046,663.5954272467635,0.7224373752745664
396896,2,B,396896_B,Minimum,0.194,1.0,224.9055,0.1186294,117.4688,0.49,0.47,0.8,0.0,20.83,9.422919131659539,417.43715469554087,0.7212750937664855
1952432,4,C,1952432_C,Saddle,0.342,2.25,187.9317,0.3361559,-146.9251,0.5,0.52,0.8,3.677,22.43,7.060664984845925,352.85101353986505,0.7190998554044379
2287827,2,B,2287827_B,Saddle,0.362,2.7,216.7704,0.163257,151.4536,0.52,0.53,0.8,0.0,22.99,5.933154552667142,336.34731530944373,0.718543474490477
4900832,4,B,4900832_B,Saddle,0.48,2.56,279.2544,0.2563783,135.7707,0.51,0.53,0.8,5.651,23.37,4.988074235971936,297.23218091659135,0.7168533993198071
2688953,2,A,2688953_A,Minimum,0.384,1.74,295.8012,0.1385901,54.6552,0.53,0.46,0.8,0.0,22.07,7.430517137317557,331.6590336425403,0.7159762510715478
2532438,4,A,2532438_A,Minimum,0.376,2.04,183.6538,0.2959919,57.70314,0.49,0.49,0.8,2.991,22.87,5.680449174450993,338.1667870254733,0.7153562715897069
3601082,2,B,3601082_B,Saddle,0.428,1.34,197.697,0.2063683,-19.17679,0.53,0.48,0.7,0.0,22.47,5.586144863593482,295.13872875370566,0.7146366246323109
912400,4,B,912400_B,Saddle,0.26,1.48,244.3431,0.1851187,101.3318,0.53,0.49,0.8,0.0,21.65,8.231400245588807,396.633995428081,0.7143762374572247
3372076,4,A,3372076_A,Minimum,0.418,1.77,185.3532,0.3597477,-98.77954,0.51,0.45,0.8,0.897,23.37,4.366305948265181,317.98480331449605,0.7138483240858489
220742,2,B,220742_B,Saddle,0.158,1.53,219.786,0.2218797,-47.755,0.49,0.54,0.8,0.0,20.75,12.137765852607055,511.5027602469672,0.712530093786961
7792083,2,A,7792083_A,Saddle,0.574,1.83,188.3649,0.1833065,60.82059,0.5,0.5,0.8,0.0,22.89,5.400611810819188,269.2059259088295,0.7123157918750188
641317,4,B,641317_B,Minimum,0.23,2.45,179.0606,0.26742,-156.1536,0.47,0.48,0.8,0.0,22.25,7.826001953509212,421.4612981672104,0.7119308181719362
4471834,4,D,4471834_D,Saddle,0.464,1.3,210.8628,0.3729892,71.78098,0.48,0.53,0.8,11.818,22.33,5.830906960416229,277.78787386644194,0.7101228562891029
10235165,4,B,10235165_B,Saddle,0.638,2.1,289.068,0.2826364,-173.3311,0.51,0.53,0.8,3.93,22.69,6.186198137340929,258.5200039912397,0.7098954637196322
2803086,4,D,2803086_D,Saddle,0.39,3.42,202.7683,0.228807,-72.53336,0.5,0.5,0.8,0.0,22.65,7.266939926612227,308.4973699286672,0.709198989640517
10640145,2,B,10640145_B,Saddle,0.648,1.1,244.3431,0.2141163,-57.54252,0.5,0.53,0.8,0.0,20.79,10.108416683932376,193.36170750709317,0.7083837711347599
4629352,4,A,4629352_A,Minimum,0.47,3.17,237.1374,0.2474196,-25.03893,0.51,0.48,0.8,0.838,22.63,7.194814550583705,289.60078667763753,0.7083765339627749
6415802,4,B,6415802_B,Saddle,0.532,1.5,229.6149,0.5559608,-20.47197,0.5,0.53,0.8,27.724,22.27,6.405944163679117,268.31038267022393,0.7083351376672676
5117184,4,C,5117184_C,Saddle,0.488,1.86,259.4179,0.2574092,-127.7156,0.52,0.53,0.8,14.057,22.71,5.85711161769528,294.7828582865385,0.7082189425541296
2461246,2,B,2461246_B,Minimum,0.372,1.35,192.3092,0.09210917,-136.375,0.51,0.47,0.8,0.0,21.83,7.309845354278415,320.93295941547285,0.7072359003683513
745614,2,B,745614_B,Minimum,0.242,1.89,287.0781,0.3576066,-34.44507,0.5,0.46,0.8,0.0,21.41,10.102892816238116,419.1370199164391,0.707127136292796
2504989,2,B,2504989_B,Saddle,0.374,1.21,257.0396,0.1097213,-45.61935,0.54,0.53,0.8,0.0,21.93,6.63314217877561,308.55161131447784,0.70687376904756
4373321,2,A,4373321_A,Saddle,0.46,1.84,235.5049,0.1372814,173.2018,0.55,0.51,0.8,0.0,20.65,13.696156169033115,303.7499386660049,0.705690629773821
3514774,4,A,3514774_A,Saddle,0.424,2.17,232.2737,0.6612822,51.71494,0.5,0.55,0.8,37.237,21.99,8.36654795788778,318.6946966137129,0.7055402699636877
6284152,4,B,6284152_B,Minimum,0.528,2.88,207.4914,0.2695224,30.7552,0.51,0.47,0.8,0.0,22.95,6.144133321306981,279.96632561322195,0.7050494877194418
364922,2,B,364922_B,Minimum,0.188,1.54,263.0268,0.1105959,-36.06338,0.5,0.45,0.8,0.0,20.21,15.227521853216425,469.4921865319119,0.7048250091277751
12184768,2,B,12184768_B,Saddle,0.684,1.09,297.1666,0.1887774,46.02175,0.5,0.53,0.8,0.0,20.97,9.334609882555599,180.6669581297176,0.7041469229434815
2114478,4,B,2114478_B,Minimum,0.352,1.82,183.6538,0.2902071,31.44424,0.48,0.46,0.8,3.781,22.69,5.854343146850867,348.05644681109777,0.7037986322907165
24457018,4,C,24457018_C,Saddle,0.914,2.4,217.771,0.2991543,-28.80828,0.5,0.5,0.8,8.382,22.91,5.913507308578691,214.02958692523984,0.7034847618619795
15179307,2,B,15179307_B,Saddle,0.748,1.5,242.1029,0.218996,8.349738,0.5,0.52,0.8,0.0,21.67,8.21453811187257,211.8531397052827,0.7033204296626775
3372076,4,B,3372076_B,Minimum,0.418,1.77,185.3532,0.3597477,-98.77954,0.43,0.53,0.8,0.0,23.37,4.366305948265181,317.98480331449605,0.7032688537634708
2996885,4,B,2996885_B,Saddle,0.4,2.89,201.3724,0.5057737,60.83458,0.52,0.52,0.8,4.962,22.29,8.084908025135164,317.47212846715894,0.7027377525180876
833073,2,A,833073_A,Minimum,0.252,1.31,192.3092,0.1724175,176.1563,0.46,0.49,0.8,0.0,20.99,10.20022178992238,393.6056447449391,0.702672589230195
99614,2,A,99614_A,Minimum,0.12,1.75,235.5049,0.1731029,-48.24803,0.5,0.47,0.8,0.0,20.75,12.872437363838845,589.5218776162815,0.7026044298481829
7120646,2,B,7120646_B,Minimum,0.554,1.36,194.9845,0.1550542,-16.82161,0.51,0.48,0.8,0.0,21.93,7.038589266067725,251.98004480690085,0.7025304394102285
1308327,2,A,1308327_A,Saddle,0.296,2.36,186.2087,0.1566313,11.91109,0.5,0.53,0.8,0.0,22.05,8.399373397543544,376.2007691486519,0.7022378070945683
4176510,2,A,4176510_A,Saddle,0.452,3.31,263.6331,0.2419782,-7.542973,0.49,0.56,0.8,0.0,23.11,5.959558309036483,291.61681473206136,0.7012734831022479
176275,2,A,176275_A,Saddle,0.146,3.13,242.1029,0.1453292,75.59628,0.53,0.54,0.8,0.0,21.11,13.465721153862704,494.4828959699907,0.7012728815223022
2389538,2,B,2389538_B,Saddle,0.368,1.55,184.5015,0.2102708,-113.2975,0.45,0.56,0.8,0.0,20.63,12.832345172999498,333.46282281958764,0.7008979766044194
3387188,2,A,3387188_A,Saddle,0.418,1.65,264.85,0.2969171,168.5626,0.51,0.49,0.8,0.0,22.31,6.576054988510135,314.8945295484241,0.7007799541556584
1263701,4,B,1263701_B,Saddle,0.292,1.84,224.9055,0.3244682,144.2088,0.49,0.51,0.8,1.154,21.89,8.192165159017566,382.16162898275877,0.7000699159210879
14688547,4,A,14688547_A,Minimum,0.738,1.79,294.4422,0.263437,-34.0817,0.51,0.46,0.8,40.53,22.89,5.352150150650348,230.10643783086888,0.6999689861499108
815520,2,B,815520_B,Saddle,0.25,2.06,213.7962,0.2107128,100.5767,0.51,0.52,0.8,0.0,21.51,10.017435508203338,411.8686689335676,0.6997362275788844
4025504,4,B,4025504_B,Saddle,0.446,2.7,224.3882,0.2960623,-78.47055,0.51,0.54,0.8,2.923,22.09,8.615602654871541,305.5495834689992,0.699112320928074
2390239,2,B,2390239_B,Saddle,0.368,4.36,216.2719,0.2056393,-106.6341,0.49,0.52,0.8,0.0,21.05,14.8108210782758,291.4283607651621,0.698891802643486
511291,2,B,511291_B,Minimum,0.212,1.47,230.6747,0.1140004,-78.22767,0.52,0.46,0.8,0.0,21.57,8.481967606454436,439.5642405934736,0.698819165955932
197802,2,B,197802_B,Minimum,0.152,2.25,261.2161,0.1356571,-166.5724,0.45,0.47,0.8,0.0,19.91,20.06529760670479,518.5205862281048,0.6987811058790656
4060,2,B,4060_B,Saddle,0.04,0.7,208.9296,0.2235544,49.62992,0.56,0.52,0.7,0.0,21.75,5.1608506027380985,827.6132570830807,0.6985715593713404
18188156,2,A,18188156_A,Saddle,0.806,2.34,242.1029,0.1986365,-116.0636,0.51,0.55,0.8,0.0,19.79,21.370722100339144,229.45868867896502,0.6981848427832671
11060106,2,B,11060106_B,Saddle,0.658,1.32,243.7811,0.3043451,173.6165,0.54,0.49,0.8,0.0,22.19,6.226775911996529,218.47891723193237,0.698066966245663
642619,2,A,642619_A,Saddle,0.23,1.31,187.0682,0.1465354,-126.6627,0.52,0.49,0.8,0.0,19.89,16.09198484921438,412.90478176932095,0.6979018808620568
2047964,4,C,2047964_C,Minimum,0.348,1.47,203.7042,0.2833857,-76.45918,0.49,0.47,0.8,3.605,21.51,8.695541047124868,340.04496610245644,0.6978295533973714
4126755,2,B,4126755_B,Saddle,0.45,1.61,260.6154,0.207291,-22.93198,0.51,0.54,0.8,0.0,22.27,6.614407772336064,301.1507129328572,0.6973905851760532
4277324,4,A,4277324_A,Minimum,0.456,2.02,266.0725,0.3035412,-30.49723,0.48,0.47,0.8,0.0,22.45,6.735674535742905,307.18856867762275,0.6972375753723891
508184,2,A,508184_A,Minimum,0.212,1.45,191.8669,0.1850297,-136.4006,0.5,0.49,0.8,0.0,20.59,12.650171223248183,438.691675707638,0.6969559879408842
1745395,4,D,1745395_D,Saddle,0.328,2.68,242.661,0.2989937,-0.5610108,0.52,0.48,0.8,25.393,21.43,11.30147711766685,352.3903027972374,0.6967288223704601
4174385,2,A,4174385_A,Saddle,0.452,1.98,241.5461,0.1373231,-136.5814,0.49,0.53,0.8,0.0,20.85,12.974541896571418,308.2825585924523,0.6962048650742217
26991675,2,B,26991675_B,Saddle,0.954,2.15,243.2204,0.1549499,-7.10338,0.49,0.57,0.8,0.0,20.07,18.480489598515486,204.1633028145845,0.6961394431654283
27910304,4,A,27910304_A,Saddle,0.968,2.5,224.9055,0.226899,137.0384,0.5,0.5,0.8,0.0,22.83,6.193353138874612,207.84268345927705,0.6958168924131705
6396212,4,B,6396212_B,Saddle,0.532,3.41,171.0015,0.2235445,75.36213,0.52,0.48,0.7,1.754,22.95,6.412943803407513,269.4349177387747,0.6953679803175797
1386661,4,A,1386661_A,Saddle,0.302,2.03,218.7762,0.4125706,-34.60421,0.54,0.54,0.8,10.864,20.55,14.83151079125721,376.23742955171485,0.6950522116982288
4277324,4,B,4277324_B,Minimum,0.456,2.02,266.0725,0.3035412,-30.49723,0.48,0.49,0.8,0.942,22.45,6.735674535742905,307.18856867762275,0.6949712961370941
676263,4,A,676263_A,Minimum,0.234,1.11,189.6706,0.3082939,12.21255,0.45,0.5,0.8,0.0,22.61,4.777939971587594,390.8723969303918,0.6943982187513013
641317,4,A,641317_A,Saddle,0.23,2.45,179.0606,0.26742,-156.1536,0.54,0.53,0.7,0.697,22.25,7.826001953509212,421.4612981672104,0.6938991812912925
75829106,4,B,75829106_B,Saddle,1.556,2.66,265.4606,0.3423184,100.578,0.49,0.53,0.8,25.032,22.25,8.02732709991658,150.29490154218487,0.6935261642507635
2993100,2,B,2993100_B,Saddle,0.4,1.81,174.1807,0.1008676,11.97357,0.54,0.51,0.7,0.0,21.15,11.058703550614482,326.05013796679907,0.6933184892704447
22039442,4,B,22039442_B,Saddle,0.874,1.51,289.068,0.2374555,-63.66146,0.53,0.49,0.8,10.54,23.07,4.612282838398988,185.54137801335298,0.6931859478062107
25837174,4,A,25837174_A,Saddle,0.936,3.66,247.7422,0.2129221,65.58102,0.53,0.49,0.8,4.7,23.23,5.801005324365843,206.66657321735724,0.692978017050406
3789751,2,B,3789751_B,Saddle,0.436,2.28,242.1029,0.2424521,-70.98243,0.5,0.5,0.8,0.0,20.83,13.766284856371579,313.8952211326991,0.6928080233416567
1601450,4,C,1601450_C,Saddle,0.318,1.22,225.4239,0.2311603,1.997001,0.5,0.5,0.8,0.0,19.55,17.864404660389873,340.02403370059756,0.6924612250526148
3431118,2,B,3431118_B,Saddle,0.42,1.29,252.3481,0.2192415,137.4979,0.48,0.56,0.8,0.0,20.19,14.100755336788671,294.59055199253237,0.692428840810589
15992367,2,A,15992367_A,Saddle,0.764,3.01,301.3006,0.159834,-141.2806,0.5,0.53,0.8,0.0,22.11,8.807145911997743,234.35667306672534,0.6924194003640441
322536,2,B,322536_B,Minimum,0.18,4.01,273.5269,0.2625685,19.73619,0.45,0.47,0.8,0.0,21.95,10.045078606713629,413.2840222540707,0.692380552746756
17647883,4,B,17647883_B,Minimum,0.796,2.92,233.8837,0.3204353,-152.7906,0.46,0.51,0.8,0.0,23.59,4.730440494448727,230.53903791111463,0.6923519501087294
5284328,2,B,5284328_B,Minimum,0.494,2.13,220.2926,0.2366489,108.5154,0.5,0.48,0.8,0.0,22.13,7.842532797711333,295.5011932709409,0.6923494895135933
1802906,2,B,1802906_B,Saddle,0.332,0.92,230.6747,0.1584608,-74.95235,0.51,0.53,0.8,0.0,20.79,9.123568638432342,292.3531187400526,0.691924618690957
47054583,4,D,47054583_D,Saddle,1.228,2.62,243.2204,0.2254932,13.36062,0.51,0.51,0.8,0.0,23.31,5.149913847665922,180.0919711912493,0.691629997494267
6284152,4,A,6284152_A,Saddle,0.528,2.88,207.4914,0.2695224,30.7552,0.48,0.52,0.8,0.185,22.95,6.144133321306981,279.96632561322195,0.6913050374580747
10873552,2,A,10873552_A,Minimum,0.654,1.82,196.7886,0.2247405,26.63537,0.51,0.47,0.8,0.0,22.33,6.796388159657341,249.29272627238092,0.691159080481213
27383416,4,B,27383416_B,Minimum,0.96,1.99,224.3882,0.2731722,13.85953,0.52,0.47,0.8,0.988,23.05,5.223062917194932,198.45395077291607,0.6910931105056897
19946025,4,B,19946025_B,Saddle,0.838,3.14,230.1442,0.299534,-40.85504,0.55,0.51,0.7,4.778,22.87,6.498011724735739,223.10982708324963,0.6906886774591743
5918868,2,A,5918868_A,Saddle,0.516,1.78,230.1442,0.1371298,-37.36257,0.49,0.52,0.8,0.0,19.87,18.6692153710459,284.34566157999546,0.6904609636332323
20062248,4,D,20062248_D,Saddle,0.84,1.58,237.1374,0.1652578,2.162075,0.55,0.52,0.8,0.0,21.13,10.520985854770386,198.10587622956763,0.6904093271681392
6650287,2,B,6650287_B,Saddle,0.54,2.43,170.2159,0.1728367,74.77192,0.54,0.49,0.7,0.0,22.55,6.892795918563472,282.1354487617252,0.6903621215441875
9990899,2,A,9990899_A,Saddle,0.632,2.03,315.5005,0.109433,165.3192,0.5,0.5,0.8,0.0,20.53,14.954964694321426,258.9498427593478,0.6902403247687897
3340258,4,A,3340258_A,Saddle,0.416,2.27,262.4219,0.299633,-169.6817,0.51,0.54,0.8,18.122,21.01,12.757483577042876,321.14286098300755,0.6901731327502089
19393094,2,A,19393094_A,Saddle,0.828,2.0,264.2409,0.106476,-41.9397,0.52,0.54,0.8,0.0,19.79,20.209292767589996,220.09637750614746,0.6895040934987268
3743755,4,D,3743755_D,Saddle,0.434,3.06,232.2737,0.2475335,168.649,0.54,0.53,0.8,7.148,22.29,8.209343658191647,302.44948824302514,0.6889307648621916
14779977,2,B,14779977_B,Saddle,0.74,1.68,215.7744,0.133699,116.0168,0.54,0.51,0.8,0.0,20.81,12.340953703878782,224.81440988046035,0.6888691464523569
182439,2,B,182439_B,Saddle,0.148,1.17,243.7811,0.2125797,113.6204,0.51,0.51,0.8,0.0,19.07,21.320623868247857,505.06686746699773,0.688854873724352
12901940,2,B,12901940_B,Saddle,0.7,1.49,224.9055,0.1149658,-41.99319,0.5,0.5,0.8,0.0,20.57,12.919205940383161,222.29060825076007,0.688696857849766
11829685,2,B,11829685_B,Saddle,0.676,1.62,281.8383,0.06951179,107.9517,0.54,0.51,0.8,0.0,20.73,12.55676035428014,236.03389924821695,0.6884961509979293
17647883,4,A,17647883_A,Minimum,0.796,2.92,233.8837,0.3204353,-152.7906,0.48,0.49,0.8,0.906,23.59,4.730440494448727,230.53903791111463,0.6879880235259883
27383416,4,A,27383416_A,Minimum,0.96,1.99,224.3882,0.2731722,13.85953,0.47,0.51,0.8,0.0,23.05,5.223062917194932,198.45395077291607,0.6878736217981983
